code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2014_28,16258,,0,2,1,0,,,6,12,,7,18,5,0,2,,,4,,8,,1,2,0,,0,5,1,,1,4,,,,0,1,2,18,,1,,3,,5,0,1,3,,,,11,,,
2014_27,16251,,,0,0,0,,,10,9,,1,14,3,0,3,,,2,0,6,,3,0,1,,3,0,1,,3,3,,,,2,1,0,8,,3,,0,,6,0,5,4,,,,6,,,
2014_26,16244,,,0,7,0,,,8,7,,6,2,5,0,4,,,3,,8,,0,1,0,,4,0,2,,2,3,,,,6,0,5,13,,0,,0,,7,0,4,1,,,,7,,,
2014_25,16237,,3,5,1,0,,,11,4,,0,15,3,0,1,,,7,,2,,3,1,1,,7,0,5,,2,5,,,,5,2,3,14,,4,,0,,7,0,4,3,,,,13,,,
2014_24,16230,,0,3,2,0,,,4,5,,5,5,2,1,1,,,1,0,5,,2,1,0,,2,3,2,,2,3,,,,8,2,3,10,,5,,2,,7,0,4,5,,,,7,,,
2014_23,16223,,0,4,2,1,,,7,6,,1,4,5,0,1,,,8,,7,,4,1,0,,2,0,8,,0,2,,,,7,1,7,18,,5,,0,,8,0,4,3,,,,6,,,
2014_22,16216,,2,3,1,1,,,3,3,,4,2,2,0,1,,,3,,5,,1,5,9,,6,2,8,,0,4,,,,4,2,2,15,,4,,1,,2,0,7,4,,,,7,,,
2014_21,16209,,0,2,6,1,,,4,6,,5,9,5,0,0,,,3,,5,,1,1,7,,2,3,4,,4,7,,,,7,1,2,24,,3,,1,,2,0,5,2,,,,4,,,
2014_20,16202,,1,1,2,0,,,9,10,,0,7,6,0,2,,,1,,11,,0,0,7,,1,0,0,,3,2,,,,9,6,2,11,,3,,2,,4,0,6,1,,,,8,,,
2014_19,16195,,1,5,2,0,,,7,24,,3,4,4,0,1,,,3,,23,,0,1,9,,2,5,4,,3,6,,,5,7,0,0,8,,6,,0,,8,0,4,4,,,,2,,,
2014_18,16188,,,1,0,0,,,9,18,,3,5,5,0,0,,,0,,13,,0,1,2,,2,2,4,,5,2,,,4,7,0,0,7,,1,,0,,6,0,5,3,,,,11,,,
2014_17,16181,,1,3,0,0,,,9,11,,3,0,1,2,0,,,2,,7,,4,2,4,,4,4,1,,2,3,,,2,16,2,2,12,,0,,1,,4,0,4,2,,,,6,,,
2014_16,16174,,2,8,1,3,,,12,13,,5,6,13,0,1,,,4,0,7,,6,4,10,,7,2,7,,3,18,,,1,17,8,,10,,2,,0,,9,0,7,3,,,,3,,,
2014_15,16167,,,7,6,8,,,11,11,,4,2,7,0,4,,,2,,17,,2,2,22,,13,4,6,,1,11,,,0,7,2,,28,,1,,5,,5,0,13,0,,,,5,,,
2014_14,16160,,,6,4,7,,,19,7,,3,6,3,0,6,,,3,0,16,,4,2,8,,6,3,11,,3,12,,,1,8,11,5,31,,4,,1,,7,0,7,6,,,,4,,,
2014_13,16153,,13,15,4,4,,,21,2,,5,4,7,0,17,,,11,0,9,,4,5,15,,12,5,13,,1,0,,,4,6,5,5,30,,3,,2,,4,0,7,1,,,,0,,,
2014_12,16146,,9,11,6,3,,,29,29,,6,3,9,0,14,,,11,0,13,,11,4,13,,8,12,9,,2,0,,,1,12,19,15,27,,8,,3,,14,0,9,0,,,,6,,,
2014_11,16139,,,19,3,0,,,15,3,,8,5,7,0,11,,,13,0,17,,1,10,16,,12,5,12,,1,0,,,1,12,8,16,20,,8,,0,,12,0,5,3,,,,4,,,
2014_10,16132,,0,17,0,0,,,22,10,,8,4,5,0,15,,,19,0,14,,4,1,15,,10,6,9,,1,0,,,0,9,18,8,30,,10,,4,,13,0,4,3,,,,8,,,
2014_09,16125,,2,18,3,0,,,15,14,,3,3,,0,25,,,10,0,18,,5,5,5,,4,7,18,,6,0,,,0,20,9,7,25,,1,,0,,15,0,4,6,,,,7,,,
2014_08,16118,,0,14,1,0,,,30,8,,9,3,6,0,0,,,18,0,33,,5,10,14,,3,11,14,,2,0,,,3,29,4,3,48,,11,,3,,6,0,1,3,,,,5,,,
2014_07,16111,,1,31,0,0,,,37,23,,6,4,0,0,0,,,13,0,44,,5,6,13,,16,7,21,,4,0,,,0,47,10,0,46,,38,,3,,21,0,5,3,,,,3,,,
2014_06,16104,,0,33,7,0,,,38,18,,14,6,8,0,0,,,5,0,37,,10,0,20,,12,17,13,,7,2,,,0,32,9,0,91,,27,,6,,11,0,4,12,,,,3,,,
2014_05,16097,,,23,2,0,,,21,10,,2,2,3,0,0,,,12,0,80,,17,1,33,,13,16,13,,6,0,,,1,29,3,2,121,,14,,4,,19,0,15,14,,,,2,,,
2014_04,16090,,,17,2,0,,,47,6,,0,1,10,0,0,,,8,0,83,,19,0,28,,6,15,4,,6,0,,,6,23,11,1,94,,19,,7,,21,0,20,8,,,,2,,,
2014_03,16083,,,7,1,0,,,28,8,,4,5,4,1,0,,,14,0,47,,10,0,28,,4,27,15,,2,0,,,3,16,5,0,61,,10,,1,,20,0,19,3,,,,4,,,
2014_02,16076,,,7,8,1,,,28,6,,9,6,2,0,0,,,12,0,36,,7,0,28,,10,26,13,,4,0,,,2,12,7,0,63,,2,,0,,8,0,6,1,,,,6,,,
2014_01,16069,,,2,8,1,,,8,5,,4,3,2,,0,,,1,0,17,,1,0,5,,2,4,17,,0,0,,,3,16,0,0,21,,1,,0,,8,0,3,2,,,,1,,,
2013_52,16062,,,2,2,0,,,21,9,,8,4,0,,0,,,6,0,21,,1,0,21,,3,2,12,,0,0,,,1,6,1,0,29,,5,,0,,16,0,6,1,,,,2,,,
2013_51,16055,,1,13,3,1,,,9,0,,0,3,1,0,5,,,5,0,20,,3,0,10,,5,4,7,,0,0,,,5,15,3,,37,,1,,0,,6,0,6,5,,,,4,,,
2013_50,16048,,2,4,2,0,,,11,26,,5,1,5,1,0,,,3,0,27,,3,0,11,,5,8,7,,1,0,,,8,7,4,0,40,,3,,0,,12,0,4,5,,,,1,,,
2013_49,16041,,1,2,1,0,,,23,18,,3,7,11,0,0,,,3,0,48,,2,1,17,,8,9,13,,4,2,,,10,12,6,7,38,,0,,1,,22,0,8,0,,,,8,,,
