code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2014_50,16412,,2,6,3,0,,,15,36,,23,27,6,13,36,,,6,0,7,,4,6,36,,15,9,4,,1,29,,,,18,23,4,35,,15,,0,,15,0,15,2,,,,6,,,
2014_49,16405,,2,13,2,0,,,17,51,,19,25,3,4,35,,,6,4,8,,7,4,31,,20,3,9,,2,32,,,,6,22,3,57,,3,,2,,11,0,11,5,,,,16,,,
2014_48,16398,,,4,3,2,,,16,41,,7,32,8,6,22,,,8,3,12,,7,0,17,,7,5,12,,4,20,,,,17,18,2,55,,0,,1,,18,2,11,7,,,,8,,,
2014_47,16391,,,10,4,0,,,22,27,,19,25,13,9,25,,,13,3,20,,7,3,22,,11,3,7,,6,27,,,,7,13,1,51,,27,,2,,7,0,13,8,,,,8,,,
2014_46,16384,,2,11,4,0,,,17,26,,36,31,10,9,22,,,6,0,2,,8,0,17,,11,16,6,,2,23,,,,18,14,5,31,,9,,10,,1,0,11,8,,,,13,,,
2014_45,16377,,1,6,0,0,,,23,18,,34,51,4,10,13,,,5,1,3,,5,5,15,,10,10,3,,3,20,,,,19,14,2,26,,22,,0,,12,2,10,6,,,,20,,,
2014_44,16370,,2,5,0,1,,,26,45,,37,23,6,30,21,,,3,,10,,2,3,17,,11,2,4,,7,7,,,,9,8,2,30,,20,,4,,5,1,9,3,,,,2,,,
2014_43,16363,,,6,1,0,,,21,27,,31,26,4,18,16,,,7,,8,,4,7,26,,10,4,1,,13,16,,,,9,12,1,52,,21,,5,,10,2,9,6,,,,9,,,
2014_42,16356,,2,3,2,0,,,27,43,,19,11,1,33,23,,,10,,9,,8,4,28,,7,2,4,,7,11,,,,10,14,2,38,,40,,1,,16,0,7,6,,,,24,,,
2014_41,16349,,2,4,2,1,,,14,11,,23,33,6,32,8,,,12,,4,,3,4,28,,5,3,1,,2,10,,,,7,1,1,27,,11,,2,,15,1,10,7,,,,9,,,
2014_40,16342,,1,6,0,0,,,12,28,,17,26,1,15,11,,,4,,4,,3,4,28,,11,0,5,,0,8,,,,4,6,4,30,,9,,2,,7,0,13,3,,,,11,,,
2014_39,16335,,,1,0,0,,,17,18,,21,23,0,13,10,,,1,,1,,4,0,22,,2,4,14,,4,23,,,,13,10,4,24,,13,,0,,5,0,5,4,,,,11,,,
2014_38,16328,,1,3,3,0,,,8,26,,13,43,3,8,12,,,6,1,6,,2,5,29,,8,1,5,,0,7,,,,5,2,6,32,,22,,0,,5,1,7,6,,,,9,,,
2014_37,16321,,,6,3,0,,,5,23,,21,28,5,8,17,,,6,2,4,,5,5,30,,10,4,6,,2,9,,,,3,1,0,27,,13,,1,,5,1,9,3,,,,11,,,
2014_36,16314,,,6,3,0,,,6,16,,17,14,3,4,15,,,11,3,7,,1,3,20,,16,4,2,,1,14,,,,10,3,5,38,,19,,4,,9,2,8,2,,,,11,,,
2014_35,16307,,,7,3,0,,,5,11,,9,17,1,6,6,,,11,,3,,4,2,21,,6,1,1,,2,25,,,,8,9,5,19,,17,,1,,4,0,5,5,,,,14,,,
2014_34,16300,,1,5,2,0,,,3,11,,4,19,9,2,31,,,15,,3,,0,2,11,,7,6,1,,0,16,,,,2,4,2,21,,20,,0,,4,0,7,5,,,,5,,,
2014_33,16293,,2,3,3,0,,,8,8,,0,25,4,6,11,,,10,,7,,0,0,10,,4,4,2,,0,11,,,,6,5,4,29,,21,,1,,3,0,9,2,,,,7,,,
2014_32,16286,,0,6,6,0,,,6,15,,0,29,2,0,10,,,7,,15,,0,2,13,,4,3,0,,1,8,,,,4,1,3,40,,18,,4,,6,0,9,5,,,,2,,,
2014_31,16279,,,1,3,0,,,5,10,,6,22,5,1,9,,,4,0,7,,3,1,5,,4,5,0,,1,13,,,,5,4,2,25,,20,,4,,3,1,10,2,,,,4,,,
2014_30,16272,,0,4,2,0,,,7,9,,4,15,7,3,22,,,8,,13,,7,5,11,,3,4,0,,1,15,,,,4,3,2,22,,16,,1,,6,0,7,3,,,,4,,,
2014_29,16265,,0,3,5,0,,,0,15,,11,10,11,3,17,,,11,0,1,,3,3,8,,5,10,1,,1,7,,,,2,3,2,18,,15,,0,,9,0,4,0,,,,2,,,
2014_28,16258,,0,8,6,0,,,3,16,,4,15,4,4,28,,,13,,4,,4,5,19,,8,4,1,,0,6,,,,13,10,4,27,,24,,3,,12,1,6,3,,,,2,,,
2014_27,16251,,,7,11,0,,,6,12,,5,29,3,5,28,,,11,0,7,,2,4,11,,8,1,5,,0,8,,,,23,5,3,15,,14,,2,,12,0,9,4,,,,4,,,
2014_26,16244,,,2,5,0,,,8,6,,5,9,1,6,27,,,2,,4,,2,4,12,,6,4,2,,1,15,,,,8,4,1,25,,8,,0,,8,0,7,6,,,,5,,,
2014_25,16237,,1,9,8,0,,,7,7,,1,15,3,6,29,,,23,,6,,1,4,21,,9,6,3,,1,13,,,,12,7,3,23,,17,,0,,12,2,12,3,,,,11,,,
2014_24,16230,,2,11,3,0,,,7,12,,12,22,3,2,12,,,11,2,2,,1,1,12,,5,2,7,,4,9,,,,14,8,4,19,,26,,0,,17,1,14,7,,,,8,,,
2014_23,16223,,1,11,3,0,,,4,11,,9,10,8,5,7,,,14,,2,,1,8,5,,5,3,3,,2,32,,,,21,2,10,20,,16,,2,,38,1,12,3,,,,16,,,
2014_22,16216,,2,11,1,0,,,8,5,,6,5,6,3,12,,,12,,7,,3,8,12,,9,3,6,,4,23,,,,9,4,3,12,,12,,1,,13,1,6,5,,,,11,,,
2014_21,16209,,0,9,1,0,,,10,15,,10,24,6,10,8,,,10,,8,,2,2,21,,18,4,4,,2,21,,,,7,3,0,20,,23,,1,,23,0,9,5,,,,16,,,
2014_20,16202,,6,3,0,0,,,7,7,,10,28,6,5,21,,,11,,7,,0,1,37,,10,3,4,,7,23,,,,4,25,1,32,,18,,1,,40,2,8,5,,,,17,,,
2014_19,16195,,12,5,2,1,,,16,12,,21,16,13,5,13,,,4,,19,,1,11,56,,14,3,5,,4,37,,,0,12,9,0,22,,26,,2,,37,3,13,4,,,,14,,,
2014_18,16188,,,9,0,0,,,10,11,,4,9,4,13,9,,,4,,6,,2,2,39,,9,4,0,,0,35,,,3,6,3,1,19,,19,,1,,9,0,13,5,,,,12,,,
2014_17,16181,,1,3,0,0,,,12,18,,9,8,3,10,8,,,1,,3,,4,4,49,,5,3,1,,2,23,,,0,8,2,1,15,,24,,1,,12,2,4,5,,,,12,,,
2014_16,16174,,2,0,2,0,,,10,22,,11,20,6,2,6,,,10,2,3,,2,3,13,,5,5,6,,3,31,,,3,7,9,,31,,13,,1,,6,2,3,4,,,,9,,,
2014_15,16167,,,4,2,0,,,8,17,,15,14,4,8,11,,,10,,13,,2,1,12,,5,3,2,,0,35,,,0,5,1,,31,,16,,0,,8,0,10,5,,,,9,,,
2014_14,16160,,,3,1,0,,,5,8,,9,8,2,15,19,,,5,0,13,,2,0,10,,16,1,11,,2,21,,,1,7,1,0,18,,13,,0,,3,1,6,3,,,,9,,,
2014_13,16153,,3,3,0,1,,,6,7,,7,4,6,2,16,,,7,0,6,,4,2,16,,9,3,5,,1,10,,,3,5,9,2,21,,21,,3,,11,0,10,3,,,,4,,,
2014_12,16146,,1,6,0,0,,,7,8,,5,11,4,3,14,,,12,1,7,,4,2,6,,19,2,9,,2,11,,,6,10,12,2,18,,11,,0,,2,2,10,9,,,,8,,,
2014_11,16139,,,6,1,0,,,9,8,,12,4,7,4,15,,,17,4,6,,3,2,15,,8,3,11,,1,18,,,0,9,23,4,16,,14,,0,,2,1,14,9,,,,8,,,
2014_10,16132,,1,2,2,0,,,10,14,,12,3,5,7,16,,,14,2,13,,4,0,15,,15,1,5,,2,16,,,0,3,14,4,23,,22,,0,,7,2,15,12,,,,7,,,
2014_09,16125,,4,5,1,1,,,16,19,,5,10,,4,22,,,16,3,16,,6,1,6,,11,7,6,,1,15,,,0,6,10,6,15,,15,,0,,5,1,13,5,,,,4,,,
2014_08,16118,,4,4,0,1,,,6,14,,8,13,9,7,11,,,18,4,19,,2,7,16,,14,1,10,,3,10,,,0,7,21,3,24,,22,,1,,7,0,31,11,,,,6,,,
2014_07,16111,,3,5,0,1,,,9,34,,5,10,7,6,23,,,23,6,16,,5,3,16,,10,4,14,,1,14,,,0,13,13,3,41,,10,,3,,11,1,24,7,,,,3,,,
2014_06,16104,,1,4,3,0,,,9,30,,7,12,4,2,17,,,15,1,20,,7,3,21,,19,2,11,,1,20,,,0,9,20,6,31,,19,,3,,6,1,40,4,,,,5,,,
2014_05,16097,,,5,0,0,,,14,29,,3,23,3,16,29,,,31,4,32,,3,4,14,,8,5,16,,1,10,,,2,5,21,13,40,,13,,4,,7,5,39,8,,,,5,,,
2014_04,16090,,,4,3,0,,,5,29,,5,10,1,9,26,,,15,3,33,,5,5,19,,13,4,13,,5,19,,,14,9,27,9,37,,19,,2,,5,4,37,11,,,,9,,,
2014_03,16083,,,5,1,2,,,10,28,,2,17,5,12,35,,,21,0,26,,3,0,19,,6,3,6,,1,12,,,7,5,12,6,23,,18,,1,,8,6,14,8,,,,12,,,
2014_02,16076,,,1,1,1,,,9,9,,3,19,1,7,35,,,18,2,14,,2,3,22,,10,2,9,,1,17,,,3,5,25,4,43,,15,,0,,13,2,12,11,,,,7,,,
2014_01,16069,,,2,4,0,,,7,14,,3,22,2,,15,,,7,0,15,,3,2,18,,6,6,15,,3,21,,,8,8,7,6,22,,7,,0,,10,2,16,3,,,,9,,,
2013_52,16062,,,5,0,0,,,4,25,,10,21,3,,42,,,4,0,17,,3,2,21,,11,9,7,,2,10,,,3,5,10,0,22,,17,,1,,6,2,6,2,,,,12,,,
2013_51,16055,,1,3,0,1,,,13,21,,4,11,0,6,53,,,10,1,5,,4,4,24,,5,3,5,,3,7,,,8,7,8,,23,,22,,1,,7,1,12,4,,,,14,,,
2013_50,16048,,4,11,4,3,,,10,13,,3,3,0,3,42,,,5,0,16,,3,4,22,,5,11,1,,1,8,,,5,2,9,2,29,,29,,2,,2,1,12,4,,,,14,,,
