code,deb_sem,abon,abv,abz,ahh,ajb,ambl,ants,atb,bel,bela,bhk,boe,bos,cda,die,diri,dona,dri,ejd,far,fito,fns,iho,mae,mand,mdv,mhj,mia,miad,mjr,mnj,mnld,mora,mrb,mrg,mrt,mtn,nsb,samp,sbv,snam,stm,tanb,tdd,tgr,tlr,toa,tomp,tsar,tsim,tsl,velo,vink,vola
2009_38,14501,,3,1,8,,,,13,,,7,,,0,23,,,,0,12,,13,8,84,,18,20,,,6,,,,,66,,,44,,25,,,,6,9,10,36,,,,1,,,
2009_37,14494,,1,2,10,,,,20,,,1,,,0,27,,,,1,9,,7,8,77,,38,17,,,2,,,,,52,,,50,,14,,,,15,3,8,43,,,,1,,,
2009_36,14487,,2,0,4,,,,20,,,2,,,2,29,,,,5,7,,4,1,38,,7,14,,,3,,,,,46,,,51,,18,,,,13,13,11,47,,,,0,,,
2009_35,14480,,0,5,4,,,,18,,,1,,,1,27,,,,0,13,,4,3,56,,20,13,,,4,,,,,45,,,67,,24,,,,25,5,3,33,,,,0,,,
2009_34,14473,,3,8,5,,,,11,,,10,,,1,15,,,,0,14,,5,3,29,,13,11,,,4,,,,,38,,,63,,25,,,,3,3,16,26,,,,2,,,
2009_33,14466,,3,9,9,,,,17,,,3,,,0,27,,,,1,19,,1,4,30,,29,10,,,5,,,,,31,,,28,,27,,,,23,6,3,34,,,,2,,,
2009_32,14459,,5,10,5,,,,12,,,1,,,1,7,,,,1,17,,7,7,31,,15,16,,,4,,,,,64,,,46,,13,,,,23,7,7,47,,,,0,,,
2009_31,14452,,4,4,11,,,,21,,,5,,,2,33,,,,0,15,,4,10,33,,26,14,,,8,,,,,57,,,31,,26,,,,28,9,5,24,,,,5,,,
2009_30,14445,,4,8,12,,,,23,,,6,,,2,30,,,,2,28,,6,6,29,,29,12,,,4,,,,,84,,,63,,31,,,,49,5,10,19,,,,3,,,
2009_29,14438,,4,21,7,,,,28,,,19,,,4,27,,,,3,25,,3,10,41,,13,11,,,8,,,,,103,,,42,,9,,,,34,8,4,64,,,,6,,,
2009_28,14431,,1,22,4,,,,20,,,18,,,7,39,,,,4,30,,1,13,46,,13,5,,,22,,,,,64,,,0,,1,,,,33,10,6,41,,,,5,,,
2009_27,14424,,5,11,7,,,,26,,,13,,,5,39,,,,1,27,,3,3,39,,18,11,,,14,,,,,71,,,31,,27,,,,33,10,5,52,,,,2,,,
2009_26,14417,,3,2,0,,,,18,,,17,,,7,27,,,,1,12,,1,5,40,,18,12,,,5,,,,,47,,,35,,16,,,,16,11,13,31,,,,3,,,
2009_25,14410,,3,17,8,,,,14,,,15,,,8,27,,,,3,14,,2,11,45,,14,12,,,6,,,,,68,,,45,,28,,,,19,7,9,57,,,,0,,,
2009_24,14403,,7,9,7,,,,15,,,4,,,4,27,,,,2,10,,5,11,38,,13,13,,,7,,,,,61,,,40,,24,,,,6,10,8,76,,,,2,,,
2009_23,14396,,1,14,11,,,,13,,,3,,,10,17,,,,2,12,,9,20,37,,19,6,,,3,,,,,47,,,47,,17,,,,17,5,8,56,,,,0,,,
2009_22,14389,,,20,12,,,,26,,,4,,,9,23,,,,0,11,,10,15,50,,15,13,,,4,,,,,53,,,,,27,,,,27,9,11,99,,,,1,,,
2009_21,14382,,,9,12,,,,12,,,4,,,8,25,,,,5,6,,4,11,27,,13,5,,,0,,,,,44,,,,,19,,,,12,4,10,47,,,,0,,,
2009_20,14375,,,19,14,,,,11,,,6,,,6,19,,,,2,20,,16,16,45,,14,11,,,1,,,,,47,,,,,22,,,,40,8,15,66,,,,0,,,
2009_19,14368,,,,16,,,,20,,,3,,,3,23,,,,1,17,,10,21,77,,12,9,,,6,,,,,48,,,,,26,,,,30,4,7,129,,,,4,,,
2009_18,14361,,,,7,,,,10,,,6,,,3,17,,,,1,17,,9,7,86,,4,4,,,4,,,,,33,,,,,16,,,,8,9,5,37,,,,0,,,
2009_17,14354,,,,2,,,,14,,,3,,,8,22,,,,1,8,,7,10,90,,10,6,,,4,,,,,48,,,,,26,,,,8,6,6,73,,,,,,,
2009_16,14347,,,,3,,,,13,,,6,,,2,15,,,,0,14,,4,11,39,,16,6,,,6,,,,,30,,,,,18,,,,9,6,2,50,,,,5,,,
2009_15,14340,,,,5,,,,23,,,13,,,6,21,,,,1,11,,13,16,49,,20,,,,6,,,,,30,,,,,15,,,,4,8,2,60,,,,0,,,
2009_14,14333,,,,3,,,,24,,,11,,,6,27,,,,1,12,,14,11,51,,30,,,,8,,,,,45,,,,,23,,,,27,11,4,78,,,,0,,,
2009_13,14326,,,,11,,,,26,,,8,,,,31,,,,0,26,,11,7,59,,26,,,,5,,,,,33,,,,,20,,,,34,7,0,81,,,,12,,,
2009_12,14319,,,,4,,,,17,,,17,,,,21,,,,0,13,,9,12,54,,22,,,,7,,,,,38,,,,,15,,,,24,13,7,97,,,,3,,,
2009_11,14312,,,,12,,,,25,,,18,,,,39,,,,0,17,,4,11,46,,15,,,,8,,,,,37,,,,,20,,,,38,12,12,114,,,,3,,,
2009_10,14305,,,,7,,,,14,,,10,,,,29,,,,0,15,,3,6,40,,29,,,,4,,,,,51,,,,,13,,,,37,16,9,86,,,,2,,,
2009_09,14298,,,,25,,,,26,,,21,,,,41,,,,0,14,,6,7,56,,29,,,,8,,,,,57,,,,,23,,,,25,18,11,124,,,,4,,,
2009_08,14291,,,,30,,,,12,,,15,,,,42,,,,1,7,,8,8,57,,36,,,,5,,,,,66,,,,,15,,,,22,17,9,63,,,,1,,,
2009_07,14284,,,,4,,,,15,,,9,,,,47,,,,0,13,,8,15,43,,31,,,,5,,,,,59,,,,,29,,,,19,14,18,69,,,,1,,,
