"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"dona";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"snam";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2015_45";"2015-11-02";2;7;3;2;1;0;2;3;9;0;0;3;0;1;9;2;2;13;2;5;0;0;1;36;0;4;4;9;1;2;4;9;1;10;11;5;7;7;5;5;3;2;2;5;2;8;5;0;4;1;6;2;1;1
"2015_44";"2015-10-26";2;2;4;4;1;0;0;1;5;1;1;14;0;6;5;1;2;2;2;11;0;6;0;11;2;4;4;14;3;0;8;6;0;20;0;4;3;13;0;8;3;2;1;13;0;9;7;1;2;2;4;0;1;0
"2015_43";"2015-10-19";0;0;0;3;0;0;3;4;32;5;2;15;6;9;23;2;2;8;0;11;0;1;0;23;1;4;8;4;2;3;4;4;1;9;3;1;6;17;0;10;2;1;3;4;1;9;14;0;2;0;0;3;1;1
"2015_42";"2015-10-12";1;5;7;2;2;0;2;0;4;5;1;5;2;10;13;2;2;2;0;9;0;5;0;8;2;11;0;13;1;6;7;1;1;7;12;2;0;11;2;8;3;2;7;0;3;2;4;0;2;1;5;3;2;0
"2015_41";"2015-10-05";1;2;3;2;2;0;2;1;34;5;3;2;0;8;16;2;1;14;3;7;0;5;2;32;1;9;3;12;4;4;2;2;1;5;7;7;13;2;2;7;3;4;4;9;3;5;17;1;4;1;7;0;2;1
"2015_40";"2015-09-28";1;2;8;3;2;0;3;12;27;4;2;3;0;1;21;0;0;17;3;7;0;6;1;0;2;7;2;9;4;6;7;6;1;9;8;6;13;34;5;4;1;2;1;12;2;0;16;0;2;1;6;0;0;0
"2015_39";"2015-09-21";0;4;3;5;0;0;1;2;9;5;3;10;3;1;12;0;2;3;2;9;0;3;4;4;1;3;8;11;5;1;8;5;1;2;17;2;11;13;4;5;0;0;5;9;7;8;8;1;3;2;7;3;1;0
"2015_38";"2015-09-14";0;1;3;1;1;0;3;8;22;2;4;8;2;0;26;1;0;12;1;12;0;3;2;34;0;11;2;2;1;3;5;1;1;3;6;3;6;10;1;7;3;1;7;5;1;4;16;0;3;2;3;3;0;0
"2015_37";"2015-09-07";2;7;7;5;0;0;0;5;0;0;3;13;0;3;28;2;0;9;0;13;0;2;0;18;1;5;6;3;5;1;5;8;1;6;17;10;13;32;4;1;2;3;5;7;5;6;4;1;4;2;1;3;1;1
"2015_36";"2015-08-31";0;4;7;5;1;0;2;10;24;0;1;7;6;5;7;2;1;11;3;2;0;5;12;14;2;9;8;11;2;1;5;1;0;4;10;10;7;5;3;7;2;3;7;0;6;0;17;1;1;0;0;3;0;0
"2015_35";"2015-08-24";1;7;3;4;2;0;1;12;6;3;2;11;6;9;24;2;3;1;3;0;0;6;0;30;2;3;5;13;3;5;8;3;1;7;4;2;5;9;4;7;1;3;7;0;6;1;6;1;1;0;6;1;0;0
"2015_34";"2015-08-17";1;1;0;2;2;0;3;0;29;3;2;7;1;5;9;0;3;14;2;8;0;6;5;20;2;0;3;4;1;3;3;5;0;15;6;3;13;8;0;10;1;2;8;3;1;3;1;0;4;1;0;3;0;1
"2015_33";"2015-08-10";0;2;8;2;0;0;3;5;21;3;4;11;6;5;21;0;3;15;1;14;0;6;12;11;2;6;3;0;2;5;6;5;1;10;14;6;2;7;0;8;2;4;2;9;2;5;16;0;4;1;0;0;2;1
"2015_32";"2015-08-03";0;3;3;3;0;0;2;0;24;3;4;7;7;9;27;0;0;17;1;3;0;0;13;0;1;4;2;2;5;2;6;7;1;17;6;3;7;26;5;0;0;1;2;1;5;6;16;1;0;1;7;1;2;0
"2015_31";"2015-07-27";2;0;0;0;2;0;1;12;0;3;0;1;2;1;13;1;0;12;1;10;0;5;1;24;1;1;5;8;2;6;5;1;0;8;4;1;0;32;5;0;1;2;0;13;2;5;5;0;0;2;4;3;2;0
"2015_30";"2015-07-20";2;1;5;5;0;0;0;5;15;0;3;7;4;10;3;0;3;7;2;8;0;5;2;6;0;0;2;8;2;1;8;8;1;11;17;7;3;9;4;10;2;0;0;10;3;2;4;0;1;0;4;0;0;1
"2015_29";"2015-07-13";1;5;5;0;0;0;1;7;31;3;3;6;2;6;10;0;0;3;3;2;0;2;7;23;0;8;2;3;0;5;4;4;1;2;14;7;10;7;2;1;0;4;2;4;2;2;14;0;0;0;5;0;0;1
"2015_28";"2015-07-06";0;2;0;2;1;0;1;9;4;3;0;13;4;7;26;2;0;8;3;8;0;1;11;35;2;0;7;7;2;1;1;3;0;7;16;6;9;38;0;3;0;0;1;6;5;8;0;1;4;0;2;2;0;1
"2015_27";"2015-06-29";1;6;0;0;2;0;0;13;22;1;3;2;1;4;14;1;1;8;1;14;0;6;7;24;2;5;4;7;5;6;3;8;1;15;4;3;7;14;4;3;1;4;7;4;0;4;4;0;1;1;7;2;2;1
"2015_26";"2015-06-22";2;1;7;0;0;0;0;11;29;2;0;10;5;1;18;0;0;18;3;13;0;1;10;27;0;8;4;6;2;1;3;5;0;14;14;9;12;20;1;2;3;4;8;7;3;7;15;1;4;0;6;4;1;0
"2015_25";"2015-06-15";2;5;1;0;2;0;3;0;10;3;4;12;3;10;22;2;3;1;1;13;0;6;13;12;1;9;2;10;0;1;0;9;0;8;0;7;4;0;3;6;3;4;6;6;3;6;9;0;2;1;2;3;0;1
"2015_24";"2015-06-08";1;3;1;3;1;0;0;0;16;1;2;12;0;4;29;0;0;14;0;15;0;3;7;23;2;1;7;1;0;6;3;4;1;15;1;5;5;0;5;7;3;1;7;3;6;1;15;1;4;0;5;3;1;0
"2015_23";"2015-06-01";1;2;7;5;2;0;0;1;18;0;2;7;2;0;2;1;1;6;1;11;0;2;0;30;1;4;1;2;1;3;3;8;1;18;3;3;6;2;4;7;1;0;6;13;2;2;9;0;1;1;6;0;0;0
"2015_22";"2015-05-25";0;6;8;0;2;0;2;9;20;3;1;7;0;8;6;2;3;19;3;0;0;4;1;8;2;0;5;2;0;4;1;9;0;20;1;6;11;38;5;0;3;0;3;13;7;2;11;1;3;2;3;0;0;0
"2015_21";"2015-05-18";2;7;3;5;2;0;1;3;26;2;2;9;3;3;28;0;1;17;3;4;0;3;3;14;2;6;0;2;0;5;6;8;1;15;16;8;11;7;4;5;3;1;7;13;7;0;10;1;0;2;6;4;1;1
"2015_20";"2015-05-11";1;3;7;5;2;0;1;1;7;4;1;14;2;8;16;0;1;13;2;7;0;3;11;30;0;0;3;11;2;1;9;0;1;18;16;10;11;36;2;3;3;1;0;3;7;4;8;0;4;2;6;2;0;0
