"code";"deb_sem";"sites";"perc_rank"
"2015_48";"2015-11-23";"dona";94
"2015_47";"2015-11-16";"dona";94
"2015_46";"2015-11-09";"dona";94
"2015_45";"2015-11-02";"dona";94
"2015_44";"2015-10-26";"dona";94
"2015_43";"2015-10-19";"dona";94
"2015_42";"2015-10-12";"dona";94
"2015_41";"2015-10-05";"dona";94
"2015_40";"2015-09-28";"dona";94
"2015_39";"2015-09-21";"dona";94
"2015_38";"2015-09-14";"dona";94
"2015_37";"2015-09-07";"dona";94
"2015_36";"2015-08-31";"dona";94
"2015_35";"2015-08-24";"dona";94
"2015_34";"2015-08-17";"dona";94
"2015_33";"2015-08-10";"dona";94
"2015_32";"2015-08-03";"dona";94
"2015_31";"2015-07-27";"dona";94
"2015_30";"2015-07-20";"dona";100
"2015_29";"2015-07-13";"dona";0
"2015_28";"2015-07-06";"dona";0
"2015_27";"2015-06-29";"dona";0
"2015_26";"2015-06-22";"dona";0
"2015_25";"2015-06-15";"dona";0
"2015_24";"2015-06-08";"dona";0
"2015_23";"2015-06-01";"dona";0
"2015_22";"2015-05-25";"dona";0
"2015_21";"2015-05-18";"dona";0
"2015_20";"2015-05-11";"dona";0
"2015_19";"2015-05-04";"dona";0
"2015_18";"2015-04-27";"dona";0
"2015_17";"2015-04-20";"dona";0
"2015_16";"2015-04-13";"dona";0
"2015_15";"2015-04-06";"dona";0
"2015_14";"2015-03-30";"dona";0
"2015_13";"2015-03-23";"dona";0
"2015_12";"2015-03-16";"dona";0
"2015_11";"2015-03-09";"dona";0
"2015_10";"2015-03-02";"dona";0
"2015_09";"2015-02-23";"dona";0
"2015_08";"2015-02-16";"dona";0
"2015_07";"2015-02-09";"dona";0
"2015_06";"2015-02-02";"dona";0
"2015_05";"2015-01-26";"dona";0
"2015_04";"2015-01-19";"dona";0
"2015_03";"2015-01-12";"dona";0
"2015_02";"2015-01-05";"dona";0
"2015_01";"2014-12-29";"dona";0
